PIERDE;GANA
Valladolid;Alavés
Celta;Alavés
R.Sociedad;Alavés
Real Madrid;Alavés
Girona;Athletic
Sevilla;Athletic
Huesca;Atlético
Rayo;Atlético
Betis;Atlético
Espanyol;Atlético
Levante;Atlético
R.Sociedad;Atlético
Huesca;Atlético
Alavés;Atlético
Valladolid;Barcelona
Espanyol;Barcelona
Levante;Barcelona
Villarreal;Barcelona
Celta;Barcelona
Alavés;Barcelona
Eibar;Barcelona
Girona;Betis
Sevilla;Betis
Leganés;Betis
R.Sociedad;Betis
Rayo;Betis
Atlético;Celta
Huesca;Celta
Eibar;Celta
Real Madrid;Eibar
Espanyol;Eibar
Huesca;Espanyol
Levante;Espanyol
Levante;Espanyol
Eibar;Espanyol
Athletic;Espanyol
Leganés;Espanyol
Valencia;Espanyol
Sevilla;Getafe
R.Sociedad;Getafe
Eibar;Getafe
Betis;Getafe
Espanyol;Getafe
Alavés;Getafe
Villarreal;Girona
Valencia;Girona
Rayo;Leganés
Alavés;Leganés
Huesca;Leganés
Getafe;Levante
Betis;Levante
Leganés;Levante
Valladolid;Levante
Athletic;Levante
Real Madrid;R.Sociedad
Huesca;Rayo
Valladolid;Rayo
Eibar;Rayo
Huesca;Real Madrid
Rayo;Real Madrid
Getafe;Real Madrid
Valladolid;Real Madrid
Valencia;Real Madrid
Sevilla;Real Madrid
Valladolid;Sevilla
Girona;Sevilla
Real Madrid;Sevilla
R.Sociedad;Valencia
Getafe;Valencia
Rayo;Valencia
Villarreal;Valladolid
Betis;Valladolid
Huesca;Valladolid
Leganés;Villarreal
Athletic;Villarreal
